num_sector,tabla,cod_municipio,grupo,producto,unidad,periodo,valor
329,INDUSTRIA MANUFACTURERA,010101,FABRI. DE PRODUCTOS TEXTILES,Fabricaci¢n de telas,VBP (Bs),TRANSFORMACION,91574.72276
330,INDUSTRIA MANUFACTURERA,010101,FABRI. DE PRODUCTOS TEXTILES,Otros productos textiles n.c.p.,VBP (Bs),TRANSFORMACION,34598299.9
331,INDUSTRIA MANUFACTURERA,010101,FABRI. DE PRODUCTOS TEXTILES,Preparaci¢n e hilado de fibras textiles,VBP (Bs),TRANSFORMACION,272726.0799
332,INDUSTRIA MANUFACTURERA,010101,FABRI. DE PRODUCTOS TEXTILES,Tapices y alfombras,VBP (Bs),TRANSFORMACION,30524.90759
333,INDUSTRIA MANUFACTURERA,010101,FABRI. DE PRODUCTOS TEXTILES,Tejidos de punto y ganchillo,VBP (Bs),TRANSFORMACION,7875426.158
334,INDUSTRIA MANUFACTURERA,010101,FABRI. DE SUSTANCIAS Y PRODUCTOS QU÷MICOS,Fibras artificiales,VBP (Bs),TRANSFORMACION,318408.4274
335,INDUSTRIA MANUFACTURERA,010101,FABRI. DE SUSTANCIAS Y PRODUCTOS QU÷MICOS,Jabones y detergentes,VBP (Bs),TRANSFORMACION,1283772.219
336,INDUSTRIA MANUFACTURERA,010101,FABRI. DE SUSTANCIAS Y PRODUCTOS QU÷MICOS,otros productos qu°micos n c p,VBP (Bs),TRANSFORMACION,9848757.153
337,INDUSTRIA MANUFACTURERA,010101,FABRI. DE SUSTANCIAS Y PRODUCTOS QU÷MICOS,"Pinturas, barnices y productos de revestimiento",VBP (Bs),TRANSFORMACION,318408.4274
338,INDUSTRIA MANUFACTURERA,010101,FABRI. DE SUSTANCIAS Y PRODUCTOS QU÷MICOS,Plaguicidas,VBP (Bs),TRANSFORMACION,318408.4274
339,INDUSTRIA MANUFACTURERA,010101,FABRI. DE SUSTANCIAS Y PRODUCTOS QU÷MICOS,Pl†sticos y caucho sintÇtico,VBP (Bs),TRANSFORMACION,7137888.658
340,INDUSTRIA MANUFACTURERA,010101,FABRI. DE SUSTANCIAS Y PRODUCTOS QU÷MICOS,Sustancias qu°micas b†sicas,VBP (Bs),TRANSFORMACION,6819480.23
341,INDUSTRIA MANUFACTURERA,010101,FABRI. DE VEH÷CULOS AUTOMOTORES Y REMOLQUES,"Carrocer°as, remolques y semirremolques",VBP (Bs),TRANSFORMACION,29216.56352
342,INDUSTRIA MANUFACTURERA,010101,FABRI. DE VEH÷CULOS AUTOMOTORES Y REMOLQUES,Partes para veh°culos automotores,VBP (Bs),TRANSFORMACION,77910.83605
468,INDUSTRIA MANUFACTURERA,010101,IMPRESI‡N Y REPRODUCCI‡N DE GRABACIONES,Actividades de encuadernaci¢n,VBP (Bs),TRANSFORMACION,3647785.585
469,INDUSTRIA MANUFACTURERA,010101,IMPRESI‡N Y REPRODUCCI‡N DE GRABACIONES,Actividades de impresi¢n,VBP (Bs),TRANSFORMACION,22996240.72
470,INDUSTRIA MANUFACTURERA,010101,IMPRESI‡N Y REPRODUCCI‡N DE GRABACIONES,Reproducci¢n de grabaciones,VBP (Bs),TRANSFORMACION,1713180.337
481,INDUSTRIA MANUFACTURERA,010101,OTRAS INDUSTRIAS MANUFACTURERAS N.C.P,Art°culos de deporte,VBP (Bs),TRANSFORMACION,31233.32903
482,INDUSTRIA MANUFACTURERA,010101,OTRAS INDUSTRIAS MANUFACTURERAS N.C.P,Fabricaci¢n instrumentos y materiales mÇdicos y odontol¢gicos,VBP (Bs),TRANSFORMACION,697061.3881
483,INDUSTRIA MANUFACTURERA,010101,OTRAS INDUSTRIAS MANUFACTURERAS N.C.P,instrumentos de m£sica,VBP (Bs),TRANSFORMACION,249866.6323
484,INDUSTRIA MANUFACTURERA,010101,OTRAS INDUSTRIAS MANUFACTURERAS N.C.P,Joyas y art°culos conexos,VBP (Bs),TRANSFORMACION,5567266.099
485,INDUSTRIA MANUFACTURERA,010101,OTRAS INDUSTRIAS MANUFACTURERAS N.C.P,Juegos y juguetes,VBP (Bs),TRANSFORMACION,187399.9742
486,INDUSTRIA MANUFACTURERA,010101,OTRAS INDUSTRIAS MANUFACTURERAS N.C.P,Otras industrias manufactureras n.c.p.,VBP (Bs),TRANSFORMACION,8447006.393
487,TURISMO,010101,Otros gasto enˇˇservicios,Alimentos y Bebidas,VBP (Bs),TRASFORMACION,124732290.1
488,TURISMO,010101,Otros gasto enˇˇservicios,Esparcimiento,VBP (Bs),TRASFORMACION,170235768.6
489,TURISMO,010101,Otros gasto enˇˇservicios,Transporte Interno,VBP (Bs),TRASFORMACION,160913038.7
490,FORESTAL,010101,PLANTACIONES FORESTALES,Eucalipto,ha,CONSTANTE,195.6992
491,FORESTAL,010101,PLANTACIONES FORESTALES,Pino,ha,CONSTANTE,876.95
492,INDUSTRIA MANUFACTURERA,010101,PRODUCTOS DE MADERA,Aserrado y cepillado de madera,VBP (Bs),TRANSFORMACION,23383020.77
493,INDUSTRIA MANUFACTURERA,010101,PRODUCTOS DE MADERA,Otros productos de madera,VBP (Bs),TRANSFORMACION,11956906.15
494,INDUSTRIA MANUFACTURERA,010101,PRODUCTOS DE MADERA,Partes y piezas de carpinter°a de madera,VBP (Bs),TRANSFORMACION,51813486.57
495,INDUSTRIA MANUFACTURERA,010101,PRODUCTOS DE MADERA,Recipientes de madera,VBP (Bs),TRANSFORMACION,3374924.393
496,INDUSTRIA MANUFACTURERA,010101,PRODUCTOS DE MADERA,Tableros de madera,VBP (Bs),TRANSFORMACION,269993.9514
497,INDUSTRIA MANUFACTURERA,010101,PRODUCTOS FARMACEÈTICO,Productos farmacÇuticos,VBP (Bs),TRANSFORMACION,9848757.153
498,TURISMO,010101,Servicios de hospedaje,Alojamiento,VBP (Bs),TRASFORMACION,111031735.9
507,PECUARIO,010102,APICULTURA,Miel,TM POR A•O,CONSTANTE,0.50234
534,INDUSTRIA MANUFACTURERA,010102,ELAB. DE PROD. ALIMENTICIOS,Elab. de productos de panader°a,VBP (Bs),TRANSFORMACION,61.1076402
535,INDUSTRIA MANUFACTURERA,010102,ELAB. DE PROD. ALIMENTICIOS,Productos l†cteos,VBP (Bs),TRANSFORMACION,61235.40117
537,INDUSTRIA MANUFACTURERA,010102,FABRI. DE PRENDAS DE VESTIR,"Prendas de vestir, excepto prendas de piel",VBP (Bs),TRANSFORMACION,30524.90759
538,INDUSTRIA MANUFACTURERA,010102,FABRI. DE PROD.  ELABORADOS DE METAL,Otros productos elaborados de metal n.c.p.,VBP (Bs),TRANSFORMACION,3246.284835
539,INDUSTRIA MANUFACTURERA,010102,FABRI. DE PRODUCTOS TEXTILES,Acabado estampado serigr†fico textiles,VBP (Bs),TRANSFORMACION,61049.81517
540,INDUSTRIA MANUFACTURERA,010102,FABRI. DE PRODUCTOS TEXTILES,Otros productos textiles n.c.p.,VBP (Bs),TRANSFORMACION,61049.81517
668,INDUSTRIA MANUFACTURERA,010102,OTRAS INDUSTRIAS MANUFACTURERAS N.C.P,Otras industrias manufactureras n.c.p.,VBP (Bs),TRANSFORMACION,31233.32903
669,TURISMO,010102,Otros gasto enˇˇservicios,Alimentos y Bebidas,VBP (Bs),TRASFORMACION,198460.2866
670,TURISMO,010102,Otros gasto enˇˇservicios,Transporte Interno,VBP (Bs),TRASFORMACION,202095.6389
671,FORESTAL,010102,PLANTACIONES FORESTALES,Eucalipto,ha,CONSTANTE,1369.611363
672,FORESTAL,010102,PLANTACIONES FORESTALES,Pino,ha,CONSTANTE,108.0003
678,PECUARIO,010103,APICULTURA,Miel,TM POR A•O,CONSTANTE,1.60716
693,PECUARIO,010202,APICULTURA,Miel,TM POR A•O,CONSTANTE,2.7305
732,INDUSTRIA MANUFACTURERA,010202,FABRI. DE PROD.  ELABORADOS DE METAL,Otros productos elaborados de metal n.c.p.,VBP (Bs),TRANSFORMACION,3246.284835
733,INDUSTRIA MANUFACTURERA,010202,FABRI. DE PRODUCTOS TEXTILES,Otros productos textiles n.c.p.,VBP (Bs),TRANSFORMACION,30524.90759
817,TURISMO,010202,Otros gasto enˇˇservicios,Alimentos y Bebidas,VBP (Bs),TRASFORMACION,148845.215
818,TURISMO,010202,Otros gasto enˇˇservicios,Transporte Interno,VBP (Bs),TRASFORMACION,67365.21296
819,FORESTAL,010202,PLANTACIONES FORESTALES,µrbol duraznillo,ha,CONSTANTE,6
820,FORESTAL,010202,PLANTACIONES FORESTALES,Cedro,ha,CONSTANTE,99.12
821,FORESTAL,010202,PLANTACIONES FORESTALES,Eucalipto,ha,CONSTANTE,631.43
822,FORESTAL,010202,PLANTACIONES FORESTALES,Pino,ha,CONSTANTE,1203.3045
823,INDUSTRIA MANUFACTURERA,010202,PRODUCTOS DE MADERA,Partes y piezas de carpinter°a de madera,VBP (Bs),TRANSFORMACION,134996.9757
833,PECUARIO,010301,APICULTURA,Miel,TM POR A•O,CONSTANTE,4.37762
850,TURISMO,010301,Compra de bienes,Otros gastos turismo,VBP (Bs),TRASFORMACION,58754.08926
918,TURISMO,010301,Otros gasto enˇˇservicios,Alimentos y Bebidas,VBP (Bs),TRASFORMACION,396920.5733
919,TURISMO,010301,Otros gasto enˇˇservicios,Transporte Interno,VBP (Bs),TRASFORMACION,112275.3549
920,FORESTAL,010301,PLANTACIONES FORESTALES,Eucalipto,ha,CONSTANTE,117.65
921,FORESTAL,010301,PLANTACIONES FORESTALES,Pino,ha,CONSTANTE,80
922,INDUSTRIA MANUFACTURERA,010301,PRODUCTOS DE MADERA,Partes y piezas de carpinter°a de madera,VBP (Bs),TRANSFORMACION,134996.9757
923,TURISMO,010301,Servicios de hospedaje,Alojamiento,VBP (Bs),TRASFORMACION,590594.3397
931,PECUARIO,010302,APICULTURA,Miel,TM POR A•O,CONSTANTE,0.81478
954,INDUSTRIA MANUFACTURERA,010302,ELAB. DE BEBIDAS,Elab. de vinos,VBP (Bs),TRANSFORMACION,905594.3841
960,INDUSTRIA MANUFACTURERA,010302,FABRI. DE OTROS PRODUCTOS MINERALES NO METµLICOS,Materiales de construcci¢n de arcilla,VBP (Bs),TRANSFORMACION,550522.7455
1027,FORESTAL,010302,PLANTACIONES FORESTALES,Cedro,ha,CONSTANTE,30
1028,FORESTAL,010302,PLANTACIONES FORESTALES,Eucalipto,ha,CONSTANTE,333.055
1029,FORESTAL,010302,PLANTACIONES FORESTALES,Pino,ha,CONSTANTE,209.345
1030,TURISMO,010302,Servicios de hospedaje,Alojamiento,VBP (Bs),TRASFORMACION,590594.3397
1040,PECUARIO,010303,APICULTURA,Miel,TM POR A•O,CONSTANTE,1.02616
1168,FORESTAL,010303,PLANTACIONES FORESTALES,Chirimoya del monte,ha,CONSTANTE,215
1169,FORESTAL,010303,PLANTACIONES FORESTALES,Eucalipto,ha,CONSTANTE,45.5
1170,FORESTAL,010303,PLANTACIONES FORESTALES,Pino,ha,CONSTANTE,416.416667
1171,FORESTAL,010303,PLANTACIONES FORESTALES,Sarar°,ha,CONSTANTE,10
1178,PECUARIO,010304,APICULTURA,Miel,TM POR A•O,CONSTANTE,0.63728
1264,FORESTAL,010304,PLANTACIONES FORESTALES,Eucalipto,ha,CONSTANTE,23.58
1272,PECUARIO,010401,APICULTURA,Miel,TM POR A•O,CONSTANTE,2.1503
1295,TURISMO,010401,Compra de bienes,Otros gastos turismo,VBP (Bs),TRASFORMACION,1057573.607
1296,INDUSTRIA MANUFACTURERA,010401,ELAB. DE PROD. ALIMENTICIOS,"Elab. de pastas, macarrones y fideos",VBP (Bs),TRANSFORMACION,4.364831443
1297,INDUSTRIA MANUFACTURERA,010401,ELAB. DE PROD. ALIMENTICIOS,"Elab. de platos preparados, comidas",VBP (Bs),TRANSFORMACION,4.364831443
1298,INDUSTRIA MANUFACTURERA,010401,ELAB. DE PROD. ALIMENTICIOS,Elab. de productos de panader°a,VBP (Bs),TRANSFORMACION,117.850449
1299,INDUSTRIA MANUFACTURERA,010401,ELAB. DE PROD. ALIMENTICIOS,"Elab. y conservaci¢n de frutas, hortalizas y tubÇrculos",VBP (Bs),TRANSFORMACION,4.364831443
1300,INDUSTRIA MANUFACTURERA,010401,ELAB. DE PROD. ALIMENTICIOS,Productos de moliner°a,VBP (Bs),TRANSFORMACION,416506.8118
1301,INDUSTRIA MANUFACTURERA,010401,ELAB. DE PROD. ALIMENTICIOS,Productos l†cteos,VBP (Bs),TRANSFORMACION,30617.70058
1308,INDUSTRIA MANUFACTURERA,010401,FABRI. DE MAQUINARIA Y EQUIPO N.C.P,Maquinaria agropecuaria y forestal,VBP (Bs),TRANSFORMACION,61679.41187
1309,INDUSTRIA MANUFACTURERA,010401,FABRI. DE MUEBLES,Muebles y colchones,VBP (Bs),TRANSFORMACION,404990.9272
1310,INDUSTRIA MANUFACTURERA,010401,FABRI. DE OTROS PRODUCTOS MINERALES NO METµLICOS,Materiales de construcci¢n de arcilla,VBP (Bs),TRANSFORMACION,1101045.491
1311,INDUSTRIA MANUFACTURERA,010401,FABRI. DE PRENDAS DE VESTIR,"Prendas de vestir, excepto prendas de piel",VBP (Bs),TRANSFORMACION,61049.81517
1312,INDUSTRIA MANUFACTURERA,010401,"FABRI. DE PROD DE INFORMµTICA,  ELECTR‡NICA Y DE ‡","Equipo mÇdico, quir£rgico",VBP (Bs),TRANSFORMACION,31233.32903
1313,INDUSTRIA MANUFACTURERA,010401,FABRI. DE PROD.  ELABORADOS DE METAL,Otros productos elaborados de metal n.c.p.,VBP (Bs),TRANSFORMACION,16231.42418
1393,TURISMO,010401,Otros gasto enˇˇservicios,Alimentos y Bebidas,VBP (Bs),TRASFORMACION,4018820.804
1394,TURISMO,010401,Otros gasto enˇˇservicios,Transporte Interno,VBP (Bs),TRASFORMACION,808382.5555
1395,FORESTAL,010401,PLANTACIONES FORESTALES,Eucalipto,ha,CONSTANTE,16.25
1396,FORESTAL,010401,PLANTACIONES FORESTALES,Pino,ha,CONSTANTE,88.5
1397,TURISMO,010401,Servicios de hospedaje,Alojamiento,VBP (Bs),TRASFORMACION,590594.3397
1406,PECUARIO,010402,APICULTURA,Miel,TM POR A•O,CONSTANTE,0.6355
1423,TURISMO,010402,Compra de bienes,Otros gastos turismo,VBP (Bs),TRASFORMACION,235016.357
1424,INDUSTRIA MANUFACTURERA,010402,ELAB. DE PROD. ALIMENTICIOS,Elab. de productos de panader°a,VBP (Bs),TRANSFORMACION,8.729662886
1429,INDUSTRIA MANUFACTURERA,010402,FABRI. DE PRENDAS DE VESTIR,"Prendas de vestir, excepto prendas de piel",VBP (Bs),TRANSFORMACION,91574.72276
1430,INDUSTRIA MANUFACTURERA,010402,FABRI. DE PROD.  ELABORADOS DE METAL,Otros productos elaborados de metal n.c.p.,VBP (Bs),TRANSFORMACION,3246.284835
1431,INDUSTRIA MANUFACTURERA,010402,FABRI. DE PRODUCTOS TEXTILES,Acabado estampado serigr†fico textiles,VBP (Bs),TRANSFORMACION,30524.90759
1496,TURISMO,010402,Otros gasto enˇˇservicios,Alimentos y Bebidas,VBP (Bs),TRASFORMACION,496150.7166
1497,FORESTAL,010402,PLANTACIONES FORESTALES,Eucalipto,ha,CONSTANTE,16.9
1498,FORESTAL,010402,PLANTACIONES FORESTALES,Pino,ha,CONSTANTE,28.35
1499,INDUSTRIA MANUFACTURERA,010402,PRODUCTOS DE MADERA,Partes y piezas de carpinter°a de madera,VBP (Bs),TRANSFORMACION,134996.9757
1505,PECUARIO,010403,APICULTURA,Miel,TM POR A•O,CONSTANTE,2.22362
